TIPO_COD,COD,ETIQUETA
CVE_MUN_SSA,06003,COMALA
CVE_MUN_SSA,06004,COQUIMATLÁN
CVE_MUN_SSA,06005,CUAUHTÉMOC
CVE_MUN_SSA,06006,IXTLAHUACÁN
CVE_MUN_SSA,06007,MANZANILLO
CVE_MUN_SSA,06008,MINATITLÁN
CVE_MUN_SSA,06009,TECOMÁN
CVE_MUN_SSA,06010,VILLA DE ÁLVAREZ
CVE_MUN_SSA,06999,NO ESPECIFICADO
CVE_MUN_SSA,07001,ACACOYAGUA
CVE_MUN_SSA,07002,ACALA
CVE_MUN_SSA,07003,ACAPETAHUA
CVE_MUN_SSA,07004,ALTAMIRANO
CVE_MUN_SSA,07005,AMATÁN
CVE_MUN_SSA,07006,AMATENANGO DE LA FRONTERA
CVE_MUN_SSA,07007,AMATENANGO DEL VALLE
CVE_MUN_SSA,07008,ANGEL ALBINO CORZO
CVE_MUN_SSA,07009,ARRIAGA
CVE_MUN_SSA,07010,BEJUCAL DE OCAMPO
CVE_MUN_SSA,07011,BELLA VISTA
CVE_MUN_SSA,07012,BERRIOZÁBAL
CVE_MUN_SSA,07013,BOCHIL
CVE_MUN_SSA,07014,EL BOSQUE
CVE_MUN_SSA,07015,CACAHOATÁN
CVE_MUN_SSA,07016,CATAZAJÁ
CVE_MUN_SSA,07017,CINTALAPA
CVE_MUN_SSA,07018,COAPILLA
CVE_MUN_SSA,07019,COMITÁN DE DOMÍNGUEZ
CVE_MUN_SSA,07020,LA CONCORDIA
CVE_MUN_SSA,07021,COPAINALÁ
CVE_MUN_SSA,07022,CHALCHIHUITÁN
CVE_MUN_SSA,07023,CHAMULA
CVE_MUN_SSA,07024,CHANAL
CVE_MUN_SSA,07025,CHAPULTENANGO
CVE_MUN_SSA,07026,CHENALHÓ
CVE_MUN_SSA,07027,CHIAPA DE CORZO
CVE_MUN_SSA,07028,CHIAPILLA
CVE_MUN_SSA,07029,CHICOASÉN
CVE_MUN_SSA,07030,CHICOMUSELO
CVE_MUN_SSA,07031,CHILÓN
CVE_MUN_SSA,07032,ESCUINTLA
CVE_MUN_SSA,07033,FRANCISCO LEÓN
CVE_MUN_SSA,07034,FRONTERA COMALAPA
CVE_MUN_SSA,07035,FRONTERA HIDALGO
CVE_MUN_SSA,07036,LA GRANDEZA
CVE_MUN_SSA,07037,HUEHUETÁN
CVE_MUN_SSA,07038,HUIXTÁN
CVE_MUN_SSA,07039,HUITIUPÁN
CVE_MUN_SSA,07040,HUIXTLA
CVE_MUN_SSA,07041,LA INDEPENDENCIA
CVE_MUN_SSA,07042,IXHUATÁN
CVE_MUN_SSA,07043,IXTACOMITÁN
CVE_MUN_SSA,07044,IXTAPA
CVE_MUN_SSA,07045,IXTAPANGAJOYA
CVE_MUN_SSA,07046,JIQUIPILAS
CVE_MUN_SSA,07047,JITOTOL
CVE_MUN_SSA,07048,JUÁREZ
CVE_MUN_SSA,07049,LARRÁINZAR
CVE_MUN_SSA,07050,LA LIBERTAD
CVE_MUN_SSA,07051,MAPASTEPEC
CVE_MUN_SSA,07052,LAS MARGARITAS
CVE_MUN_SSA,07053,MAZAPA DE MADERO
CVE_MUN_SSA,07054,MAZATÁN
CVE_MUN_SSA,07055,METAPA
CVE_MUN_SSA,07056,MITONTIC
CVE_MUN_SSA,07057,MOTOZINTLA
CVE_MUN_SSA,07058,NICOLÁS RUÍZ
CVE_MUN_SSA,07059,OCOSINGO
CVE_MUN_SSA,07060,OCOTEPEC
CVE_MUN_SSA,07061,OCOZOCOAUTLA DE ESPINOSA
CVE_MUN_SSA,07062,OSTUACÁN
CVE_MUN_SSA,07063,OSUMACINTA
CVE_MUN_SSA,07064,OXCHUC
CVE_MUN_SSA,07065,PALENQUE
CVE_MUN_SSA,07066,PANTELHÓ
CVE_MUN_SSA,07067,PANTEPEC
CVE_MUN_SSA,07068,PICHUCALCO
CVE_MUN_SSA,07069,PIJIJIAPAN
CVE_MUN_SSA,07070,EL PORVENIR
CVE_MUN_SSA,07071,VILLA COMALTITLÁN
CVE_MUN_SSA,07072,PUEBLO NUEVO SOLISTAHUACÁN
CVE_MUN_SSA,07073,RAYÓN
CVE_MUN_SSA,07074,REFORMA
CVE_MUN_SSA,07075,LAS ROSAS
CVE_MUN_SSA,07076,SABANILLA
CVE_MUN_SSA,07077,SALTO DE AGUA
CVE_MUN_SSA,07078,SAN CRISTÓBAL DE LAS CASAS
CVE_MUN_SSA,07079,SAN FERNANDO
CVE_MUN_SSA,07080,SILTEPEC
CVE_MUN_SSA,07081,SIMOJOVEL
CVE_MUN_SSA,07082,SITALÁ
CVE_MUN_SSA,07083,SOCOLTENANGO
CVE_MUN_SSA,07084,SOLOSUCHIAPA
CVE_MUN_SSA,07085,SOYALÓ
CVE_MUN_SSA,07086,SUCHIAPA
CVE_MUN_SSA,07087,SUCHIATE
CVE_MUN_SSA,07088,SUNUAPA
CVE_MUN_SSA,07089,TAPACHULA
CVE_MUN_SSA,07090,TAPALAPA
CVE_MUN_SSA,07091,TAPILULA
CVE_MUN_SSA,07092,TECPATÁN
CVE_MUN_SSA,07093,TENEJAPA
CVE_MUN_SSA,07094,TEOPISCA
CVE_MUN_SSA,07096,TILA
CVE_MUN_SSA,07097,TONALÁ
CVE_MUN_SSA,07098,TOTOLAPA
